"participant","condsFile","order","trial","nTrip","totalListTime","meanListTime","totalShelfTime","meanShelfTime","totalTime","totalCorrect","meanCorrect","meanCorBefInc","totalInCorrect","meanIncorrect","maxCorrect","maxIncorrect","totalClickeds","meanclickeds","meanMU","Timestamp","What.is.your.child.s.gender.","What.is.your.child.s.age.","Please.enter.your.child.s.birth.date.","Caregiver.1..What.is.the.highest.level.of.education.","Caregiver.2..What.is.the.highest.level.of.education.","Is.your.child.currently.going.to.school..If.yes..what.grade...In.the.summer..What.grade.has.your.child.just.completed..","Which.group.below.most.accurately.describes.your.child.s.ethnic.background.","Which.group.help.most.accurately.describes.your.child.s.racial.background.","How.many.days.per.week.does.your.child.spend.using.a.touchscreen.device...e.g..iPad..tablet..smartphone.","On.these.days..how.many.hours.does.your.child.typically.spend.using.the.touchscreen.device.","Which.types.of.activities.does.your.child.usually.engage.in.on.the.touchscreen.device.","Does.your.child.have.colorblindness.","At.what.age.did.your.child.first.begin.to.play.with.a.touchscreen.device.","Have.you.ever.had.any.developmental.concerns.or.have.you.ever.been.referred.to.early.intervention..If.yes..what.it.is.","Does.your.child.hear.any.other.language.other.than.English.on.a.daily.basis..If.yes..which.."
"15","longDelay","D",3,1,4.7128674700034,4.7128674700034,9.01107869000771,9.01107869000771,13.7239461600111,2,2,2,0,0,2,0,2,2,2,"11/11/2024 14:16:44","Female",5,"2/21/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","everyday","1-2 hours","playing games, watching videos","No","3","No","No"
"15","longDelay","D",4,1,5.05177267000181,5.05177267000181,34.5659216100103,34.5659216100103,39.6176942800121,6,6,3,4,4,6,4,10,10,2,"11/11/2024 14:16:44","Female",5,"2/21/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","everyday","1-2 hours","playing games, watching videos","No","3","No","No"
"15","noDelay","D",1,1,2.29914835000091,2.29914835000091,8.65218644000561,8.65218644000561,10.9513347900065,2,2,2,0,0,2,0,2,2,2,"11/11/2024 14:16:44","Female",5,"2/21/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","everyday","1-2 hours","playing games, watching videos","No","3","No","No"
"15","noDelay","D",2,1,4.57397315999697,4.57397315999697,5.41589343000669,5.41589343000669,9.98986659000366,2,2,2,0,0,2,0,2,2,2,"11/11/2024 14:16:44","Female",5,"2/21/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","everyday","1-2 hours","playing games, watching videos","No","3","No","No"
"15","noDelay","D",3,1,5.0043769599979,5.0043769599979,13.2531306200071,13.2531306200071,18.257507580005,3,3,3,0,0,3,0,3,3,3,"11/11/2024 14:16:44","Female",5,"2/21/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","everyday","1-2 hours","playing games, watching videos","No","3","No","No"
"15","noDelay","D",4,1,5.66780236000341,5.66780236000341,19.9196103500035,19.9196103500035,25.5874127100069,5,5,4,5,5,5,5,10,10,0,"11/11/2024 14:16:44","Female",5,"2/21/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","everyday","1-2 hours","playing games, watching videos","No","3","No","No"
"16","longDelay","B",1,1,5.29033177997917,5.29033177997917,4.16956336982548,4.16956336982548,9.45989514980465,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","longDelay","B",2,1,3.7201870798599,3.7201870798599,4.71932640986051,4.71932640986051,8.43951348972041,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","longDelay","B",3,1,5.36995717999525,5.36995717999525,5.1804245399544,5.1804245399544,10.5503817199497,1,1,1,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","longDelay","B",4,1,10.0642432799796,10.0642432799796,36.1579807999078,36.1579807999078,46.2222240798874,6,6,3,4,4,6,4,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
